tag,config,n,min,median,p99,max
imu_interval_task,L0-noload,256,839813,840000,840180,840187
imu_interval_task,L0-noload,256,839813,840000,840180,840187
action_latency,L0-noload,128,772,774,1254,1389
imu_interval_task,L0-noload,256,839807,840000,840180,840187
imu_interval_task,L0-noload,256,839813,840000,840180,840187
imu_interval_task,L0-noload,256,839813,840000,840180,840187
action_latency,L0-noload,128,772,774,1254,1254
imu_interval_task,L0-noload,256,839813,840000,840180,840187
imu_interval_task,L0-noload,256,839813,840000,840180,840187
action_latency,L0-noload,128,772,774,1254,1254
imu_interval_task,L0-noload,256,839813,840000,840180,840187
imu_interval_task,L0-noload,256,839813,840000,840180,840187
imu_interval_task,L0-noload,256,839813,840000,840180,840187
action_latency,L0-noload,128,772,774,1254,1254
imu_interval_task,A-mono,256,839799,840000,840180,840187
imu_interval_task,A-mono,256,839799,840000,840180,840187
imu_interval_task,A-mono,256,839799,840000,840180,840187
action_latency,A-mono,128,759,774,1434,1434
load_job,A-mono,128,1680091,1680099,1680132,4072844
imu_interval_task,A-mono,256,839799,840000,840180,840187
imu_interval_task,A-mono,256,839799,840000,840180,840187
action_latency,A-mono,128,759,774,1434,1434
load_job,A-mono,128,1680091,1680098,1680132,3668978
imu_interval_task,A-mono,256,839799,840000,840180,840187
imu_interval_task,A-mono,256,839799,840000,840180,840193
imu_interval_task,A-mono,256,839799,840000,840180,840187
action_latency,A-mono,128,759,774,1434,1442
load_job,A-mono,128,1680091,1680099,1680132,3257112
imu_interval_task,A-mono,256,839799,840000,840180,840187
imu_interval_task,A-mono,256,839799,840000,840180,840187
action_latency,A-mono,128,759,774,1434,1434
imu_interval_task,B-mono,256,131630,840000,2438642,2521463
imu_interval_task,B-mono,256,131631,839993,2521454,2522258
imu_interval_task,B-mono,256,131631,839993,2521454,2522258
action_latency,B-mono,128,772,774,1680747,1680747
load_job,B-mono,128,1680091,1680105,1680129,1680130
imu_interval_task,B-mono,256,131631,839993,2521463,2522258
imu_interval_task,B-mono,256,131631,839993,2521463,2522258
action_latency,B-mono,128,772,774,1680747,1680747
imu_interval_task,B-mono,256,131631,839993,2521463,2522258
load_job,B-mono,128,1680090,1680105,1680129,1680129
imu_interval_task,B-mono,256,131631,839993,2521463,2522258
imu_interval_task,B-mono,256,131631,839993,2521463,2522258
action_latency,B-mono,128,772,774,1680747,1680747
load_job,B-mono,128,1680091,1680105,1680129,1680129
imu_interval_task,B-mono,256,131631,839993,2521463,2523502
imu_interval_task,B-mono,256,131631,839993,2521463,2522258
action_latency,B-mono,128,772,774,1680747,1680747
imu_interval_task,C-chunk5ms,256,131631,839993,2521454,2522256
imu_interval_task,C-chunk5ms,256,418593,840000,1261314,1261324
imu_interval_task,C-chunk5ms,256,418593,840000,1261314,1261324
action_latency,C-chunk5ms,128,772,774,420696,420696
load_job,C-chunk5ms,128,1931865,1932037,1932220,1932220
imu_interval_task,C-chunk5ms,256,418593,840000,1261314,1261324
imu_interval_task,C-chunk5ms,256,418593,840000,1261314,1261324
imu_interval_task,C-chunk5ms,256,418593,840000,1261314,1261324
action_latency,C-chunk5ms,128,772,774,420696,420696
load_job,C-chunk5ms,128,1931861,1932037,1932220,1932220
imu_interval_task,C-chunk5ms,256,418593,840000,1261314,1261324
imu_interval_task,C-chunk5ms,256,418593,840000,1261314,1261324
action_latency,C-chunk5ms,128,772,774,420696,420696
imu_interval_task,C-chunk5ms,256,418593,840000,1261314,1261324
load_job,C-chunk5ms,128,1931865,1932037,1932220,1932220
imu_interval_task,C-chunk5ms,256,418593,840000,1261314,1261324
imu_interval_task,C-chunk5ms,256,418593,840000,1261314,1261324
action_latency,C-chunk5ms,128,772,774,420696,420696
imu_interval_task,D-chunk1ms,256,418600,840000,1177139,1261307
imu_interval_task,D-chunk1ms,256,754570,840000,925335,925342
action_latency,D-chunk1ms,128,772,1207,84712,84712
imu_interval_task,D-chunk1ms,256,754570,840000,925335,925342
load_job,D-chunk1ms,128,3275892,3276073,3276243,3276243
imu_interval_task,D-chunk1ms,256,754570,840000,925335,925342
imu_interval_task,D-chunk1ms,256,754570,840000,925335,925342
action_latency,D-chunk1ms,128,772,1207,84712,84712
load_job,D-chunk1ms,128,3275893,3276073,3276243,3276243
imu_interval_task,D-chunk1ms,256,754570,840000,925335,925342
imu_interval_task,D-chunk1ms,256,754570,840000,925335,925342
action_latency,D-chunk1ms,128,772,1207,84712,84712
imu_interval_task,D-chunk1ms,256,754570,840000,925335,925342
load_job,D-chunk1ms,128,3275893,3276073,3276243,3276243
imu_interval_task,D-chunk1ms,256,754570,840000,925335,925342
imu_interval_task,D-chunk1ms,256,754570,840000,925335,925342
action_latency,D-chunk1ms,128,772,1207,84712,84712
imu_interval_task,L0-noload,256,754572,840000,925290,925335
imu_interval_task,L0-noload,256,839813,840000,840180,840187
imu_interval_task,L0-noload,256,839813,840000,840180,840187
action_latency,L0-noload,128,772,774,1254,1254
imu_interval_task,L0-noload,256,839813,840000,840180,840187
imu_interval_task,L0-noload,256,839813,840000,840180,840187
action_latency,L0-noload,128,772,774,1254,1254
imu_interval_task,L0-noload,256,839813,840000,840180,840187
imu_interval_task,L0-noload,256,839813,840000,840180,840187
imu_interval_task,L0-noload,256,839813,840000,840180,840187
